"Format version:","1.0"
"Date and Time:","24 nov. 2015 15:11:02"
"Project Name:","EvalStepByStep"
"Design Name:","Photo_Design_3"
"Task Hierarchy:","VoirLaPhotoDesEnfantsANoel2015"
,
"Frame","Action","Widget-Name","Displayed-Label","Widget-Type"
"Accueil","Think for 1.200 s","","",""
"Accueil","Move Mouse","OuvrirAlbum","","Button"
"Accueil","Left Click","OuvrirAlbum","","Button"
"AlbumNoel","Think for 1.200 s","","",""
"AlbumNoel","Move Mouse","PhotoEnfantNoel","","Button"
"AlbumNoel","Left Click","PhotoEnfantNoel","","Button"
"AffichagePhoto"